insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Từ Điển Tiếng “Em” - Tái Bản 2021', 115, '2010/03/05', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thám Tử Đã Chết - Tập 1 - Tặng Kèm Bookmark Tròn', 474, '2008/08/29', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', '[Bản Đặc Biệt] Date A Live - Tập 7: Miku Truth - Tặng Kèm Bookmark + Postcard', 257, '2012/12/29', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản 2021)', 418, '2006/09/06', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Mắt Biếc (Tái Bản 2019)', 191, '2013/07/19', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Con Chim Xanh Biếc Bay Về - Tặng Kèm 6 Postcard', 165, '2016/03/13', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'SPY ROOM - Lớp Học Điệp Viên - Tập 2: Manamusume Grete - Bản Giới Hạn: Bookmark + Bộ Postcard Metalize + Thẻ Nhân Vật', 193, '2001/05/14', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Hạ Đỏ (Tái Bản 2018)', 364, '2006/08/22', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản 2018)', 468, '2002/03/07', 8);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Hiệp Sĩ Lưu Ban - Tập 10 - Bản Đặc Biệt - Tặng Kèm Bookmark + Postcard + 2 Tấm Tranh Bồi (Shikishi)', 396, '2005/07/22', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Date A Live Encore - Tập 3 - Tặng Kèm Bookmark Bế Hình + Postcard Bí Mật', 471, '2010/09/13', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Từng Có Người Yêu Tôi Như Sinh Mệnh (Tái Bản 2020)', 308, '2012/02/05', 12);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Husky Và Sư Tôn Mèo Trắng Của Hắn - Tập 1', 140, '2008/05/26', 13);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bão Ngầm', 302, '2014/09/25', 15);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thiên Quan Tứ Phúc - Tập 3', 165, '2004/08/24', 13);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Con Chim Xanh Biếc Bay Về - Bìa Cứng - Tặng Kèm 6 Postcard', 421, '2003/06/27', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 3', 217, '2012/04/07', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Hành Trình Của Elaina - Tập 10 - Tặng Kèm 4 Bookmark Bế Hình Nhân Vật + Postcard + Card SNS', 237, '2013/08/09', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bố Già - Bìa Cứng', 206, '2001/11/04', 4);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Date A Live Encore - Tập 2', 301, '2014/12/19', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Chiến Tranh Và Hòa Bình (Hộp 2 Cuốn - 2017)', 246, '2008/04/26', 16);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Hai Số Phận (Tái Bản 2018)', 335, '2014/01/21', 9);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 4 - Tặng Kèm Bookmark', 279, '2014/08/10', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tiểu Thuyết Chuyển Thể - Thanh Gươm Diệt Quỷ: Tanjiro Và Nezuko - Khởi Đầu Của Định Mệnh', 366, '2016/12/15', 6);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Chủ Tiệm Bánh Chiến Binh Và Cô Phục Vụ Người Máy - Tập 6 - Bản Đặc Biệt - Tặng Kèm 01 Bookmark + 02 Postcard Holo (8x13cm) + 01 Poster Khổ Lớn (30x42cm)', 446, '2015/10/24', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Những Đứa Trẻ Đuổi Theo Tinh Tú', 439, '2007/01/29', 17);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Harry Potter Và Hòn Đá Phù Thuỷ - Tập 1 (Tái Bản 2017)', 401, '2002/09/18', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Cái Tên Khắc Sâu Trong Tim Người', 228, '2003/09/17', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Cái Tên Khắc Sâu Trong Tim Người', 122, '2017/01/22', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Kỳ Nghỉ Dưỡng Của Chàng Quý Tộc Ôn Hòa - Tập 2 - Bản Đặc Biệt - Tặng Kèm Popup Standee + 2 Postcard + Bookmark', 119, '2002/02/21', 18);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Những Đứa Trẻ Đuổi Theo Tinh Tú', 421, '2001/07/28', 17);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bình Hoa (Phiên Bản Thường)', 225, '2009/02/12', 13);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Về Chuyện Tôi Chuyển Sinh Thành Slime - Tập 1 - Bản Thường - Tặng Kèm Bookmark + Poster Khổ Lớn', 311, '2009/06/12', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tôi Yêu Nữ Phản Diện - Tập 1 - Bản Đặc Biệt - Tặng Kèm Bookmark + Postcard', 274, '2002/07/02', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Một Thoáng Ta Rực Rỡ Ở Nhân Gian', 312, '2011/04/17', 8);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Có Một Ngày, Bố Mẹ Sẽ Già Đi', 463, '2011/02/21', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Những Người Khốn Khổ (Bộ 5 Tập)', 144, '2015/12/03', 9);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Sherlock Holmes Toàn Tập (Bộ Hộp 3 Tập - Bìa Mềm)', 192, '2004/07/11', 9);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Cô Gái Đến Từ Hôm Qua', 401, '2002/08/29', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Dấu Chân Trên Cát (Tái Bản 2020)', 104, '2008/04/11', 19);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Phụ Nữ Hiểu Biết Sẽ Có Cuộc Sống Đẳng Cấp Hơn', 183, '2001/08/11', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Dear, Darling - Tặng Kèm Postcard', 221, '2009/07/25', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Nhân Vật Hạ Cấp Tomozaki - Tập 1 - Bản Giới Hạn - Tặng Kèm Thẻ Normal + Thẻ Rare + Kẹp Sách', 469, '2014/06/22', 6);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thiên Quan Tứ Phúc - Tập 4', 400, '2002/11/30', 13);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Truyện Ma Không Hồi Kết - Bản Đặc Biệt - Sách Bìa Cứng - Tặng Kèm Bookmark In 2 Mặt + Sticker + Hộp Quà Gồm 4 Huy Hiệu Và 2 Card Bo Góc', 329, '2016/01/19', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bộ Sách Thám Tử Đã Chết - Tập 2 + SPY ROOM - Lớp Học Điệp Viên - Tập 2: Manamusume Grete - Bản Giới Hạn - Tặng Kèm Poster', 273, '2001/07/08', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Sự Im Lặng Của Bầy Cừu (Tái Bản 2019)', 371, '2016/01/01', 8);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tanya Chiến Ký 3: The Finest Hour - Bản Đặc Biệt - Tặng Kèm Bookmark + 2 Postcard Metalize + Lót Ly', 222, '2016/09/08', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thơ Xuân Diệu', 422, '2008/09/22', 20);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Chuyện Cổ Tích Dành Cho Người Lớn (Tái Bản 2018)', 185, '2009/04/11', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Date A Live - Tập 12 - Itsuka Disaster - Tặng Kèm Bookmark', 140, '2007/07/03', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bảy Bước Tới Mùa Hè (Tái Bản 2019)', 206, '2015/10/29', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thế Giới Otomegame Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 1', 370, '2015/01/24', 11);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Vui Vẻ Không Quạu Nha (Tái Bản 2021)', 416, '2001/10/14', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Vụng Trộm Yêu Anh (Bộ 2 Tập)', 238, '2005/04/06', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Số Đỏ', 148, '2006/09/29', 20);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Nỗi Buồn Chiến Tranh', 250, '2003/04/07', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Màu Nhạt Nắng', 489, '2005/05/22', 11);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Date A Live - Tập 5', 486, '2005/03/31', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tanya Chiến Ký 1: Deus Lo Vult', 391, '2012/04/09', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tắt Đèn (Tái Bản 2020)', 107, '2015/10/25', 20);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Your Name (Tái Bản)', 462, '2011/02/23', 21);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Heidi - Bìa Cứng', 124, '2007/04/30', 4);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thiên Quan Tứ Phúc - Tập 2 (Tái Bản 2021)', 110, '2007/01/23', 13);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Suỵt! Yên Nào', 343, '2005/01/28', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Loạn Thế Vi Vương (Toàn Tập) - Bìa Cứng - Tặng Kèm 4 Postcard', 187, '2002/02/07', 13);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Date A Live - Tập 4 (Tái Bản)', 261, '2013/09/01', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Hội Chứng Tuổi Thanh Xuân - Tập 6 - Bản Giới Hạn - Tặng Kèm Bookmark + Postcard + Poster Lịch', 341, '2014/11/16', 6);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thần Chết Làm Thêm 300 Yên/Giờ (Tái Bản 2021)', 307, '2009/11/12', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Người Trong Lưới (Tái Bản)', 131, '2014/04/29', 17);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tôi Là Bêtô (Tái Bản 2018)', 110, '2009/02/01', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', '999 Lá Thư Gửi Cho Chính Mình - Ấn Bản Cao Cấp Và Giới Hạn (Số Ngẫu Nhiên)', 246, '2009/08/12', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Em - Liêu Hà Trinh (Tái Bản - Bìa Cứng)', 441, '2008/11/30', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'SPY ROOM - Lớp Học Điệp Viên - Tập 2: Manamusume Grete - Bản Quà Tặng: Bookmark + Bộ Postcard Metalize + Thẻ Nhân Vật', 101, '2013/05/03', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Giải Ngải Ký (Tập 1 + 2)', 314, '2014/02/24', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bộ Sách Thám Tử Đã Chết - Tập 3 + SPY ROOM - Lớp Học Điệp Viên - Tập 3: Bouga Annette - Tặng Kèm Quà + Huy Hiệu', 156, '2004/08/21', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Biên Niên Sử Đế Chế Alexis - Kiêu Hùng Rung Chuyển Đất Trời - Tập 3', 187, '2014/10/04', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Chúng Ta Rồi Sẽ Hạnh Phúc, Theo Những Cách Khác Nhau', 402, '2012/01/27', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', '999 Lá Thư Gửi Cho Chính Mình - Mong Bạn Trở Thành Phiên Bản Hoàn Hảo Nhất (Tập 1) - Tái Bản 2021', 332, '2009/01/22', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', '[Bản Đặc Biệt] Không Muốn Cô Ấy Vì Tôi Mà Rơi Lệ - Tặng Kèm Bookmark Hai Mặt + Đai Obi Bao Sách + Poster (30x42cm)', 314, '2007/10/04', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Hành Trình Của Elaina - Tập 6', 384, '2013/09/24', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Nỗi Buồn Chiến Tranh', 437, '2008/01/25', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tanya Chiến Ký 1: Deus Lo Vult', 170, '2008/07/18', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Điều Đẹp Nhất Có Khi Là Buông Tay', 477, '2008/07/29', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Điều Kỳ Diệu Của Tiệm Tạp Hóa Namiya (Tái Bản 2018)', 307, '2010/11/11', 8);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Làm Bạn Với Bầu Trời - Tặng Kèm Khung Hình Xinh Xắn', 244, '2006/04/22', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Vì Con Gái Tôi Có Thể Đánh Bại Cả Ma Vương - Tập 5 - Tặng Kèm Poster + Bookmark', 287, '2005/02/20', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Nguyễn Du -Truyện Thúy Kiều (Bản Đặc Biệt)', 103, '2004/08/08', 22);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bộ Sách Ma Đạo Tổ Sư - Tập 3&4', 209, '2009/08/19', 13);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Số Đỏ - Bìa Cứng (Hoạt-Kê Tiểu-Thuyết)', 417, '2008/03/19', 4);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Cảm Ơn Người Lớn (Bìa Mềm)', 388, '2013/01/14', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bí Mật Của Naoko', 268, '2005/09/08', 8);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Harry Potter Và Phòng Chứa Bí Mật - Tập 2 (Tái Bản 2017)', 307, '2002/06/14', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Combo Đại Ca (Bộ 2 Tập)', 314, '2011/07/14', 13);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Để Dòng Sông Trôi - Tặng Kèm Bookmark + Postcard', 143, '2010/02/26', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Date A Live - Tập 8', 251, '2007/10/06', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tiểu Vũ Trụ - Tô Màu Thế Giới 12 Chòm Sao', 169, '2005/03/25', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thương', 478, '2003/07/06', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Rừng Nauy (Tái Bản 2021)', 383, '2010/11/06', 8);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Date A Live - Tập 1', 476, '2016/04/24', 14);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Anohana - Đóa Hoa Ngày Ấy (Phiên Bản Light Novel)', 307, '2001/12/11', 17);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tôi Thấy Hoa Vàng Trên Cỏ Xanh (Bản In Mới - 2018)', 439, '2007/10/13', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Đừng Nhạt Nữa', 158, '2015/05/04', 23);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Nhân Vật Hạ Cấp Tomozaki - Tập 2 - Bản Giới Hạn - Tặng Kèm Thẻ Normal + Thẻ Rare + 2 Bookmark 2 Mặt', 461, '2003/07/17', 6);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Nắm Nhầm Một Bàn Tay, Tìm Được Người Như Ý', 469, '2004/06/08', 12);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Vườn Hoa Mạt Dược Ký Sự - Những Kỳ Án Nổi Tiếng Chưa Có Lời Giải', 320, '2012/11/18', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Những Gì Đã Qua Đừng Nghĩ Lại Quá Nhiều (Tái Bản 2020)', 361, '2009/04/24', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Ngày Xưa Có Một Chuyện Tình (Tái Bản 2019)', 406, '2008/05/18', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bộ Gosick - Tập 8 + 9 - Tặng Kèm 2 Bookmark + 01 Sticker', 221, '2011/08/15', 6);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tớ Muốn Ăn Tụy Của Cậu', 246, '2014/05/15', 7);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Những Tấm Lòng Cao Cả (Tái Bản 2020)', 283, '2014/10/01', 20);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Đảo Ngục Môn', 200, '2011/05/12', 17);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Những Câu Chuyện Đáng Sợ. Những Thần Thoại Ớn Xương', 281, '2003/07/06', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Mình Chỉ Là Người Bình Thường', 364, '2003/12/16', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bồ Câu Không Đưa Thư (Tái Bản 2019)', 150, '2015/01/11', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Nhiệt Độ Xã Giao', 102, '2011/02/09', 21);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Ông Già Và Biển Cả (Tái Bản 2022)', 468, '2004/02/16', 24);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Grimgar - Ảo Ảnh Và Tro Tàn - Tập 3', 464, '2008/07/03', 6);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thơ Tố Hữu (Tái Bản 2016)', 107, '2005/10/15', 20);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Ngàn Năm Chờ Đợi (Tái Bản)', 412, '2012/08/30', 12);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Uống Cafe Trên Đường Của Vũ', 489, '2009/10/16', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Kim Ngưu (Tái Bản 2019)', 207, '2002/12/05', 6);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Không Gia Đình', 348, '2016/09/16', 25);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Trước Mặt Là Thế Giới Trong Lòng Là Cô Đơn - Bản Đặc Biệt - Tặng Kèm Bookmark + 2 Postcard', 444, '2012/10/08', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Đừng Cố Làm Người Tốt Trong Mắt Tất Cả Mọi Người', 492, '2014/09/22', 26);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Hiệp Sĩ Xương Trên Đường Du Hành Đến Thế Giới Khác - Tập 3', 298, '2002/02/06', 5);
